"-- Please Select --","-- Selecteer a.u.b. --"
"------","------"
"Unable to find group to save","Niet gelukt de groep te vinden om op te slaan"
"Use Code Inserts","Gebruik code inserts"
"Use External Image Hosting","Gebruik externe hosting"
"Video ID","Video ID"
"Visible In","Zichtbaar in"
"XML Code (layout xml code)","XML Code (layout xml code)"
"a unique identifier that is used to inject the slide group via XML","een unieke identificatie die gebruikt wordt om een groep toe te voegen via XML"
"allow slider to scale height if slider images differ in height","sta de slider toe de hoogte aan te passen als de slides in hoogte verschillen"
"enter the video id of your YouTube or Vimeo video (not the full link)","voeg het video id van je YouTube of Vimeo video toe (niet de volledige link)"
"enter your custom css here","voeg hier je aangepaste css toe"
"in milliseconds (default is 600)","in milliseconden (standaard is 600)"
"in milliseconds (default is 7000)","in milliseconden (standaard is 7000)"
"instead of uploading images you can host your images on a image hoster and just enter the link to the image and thumbnail","in plaats van het uploaden van afbeeldingen kan je ook de afbeeldingen bij een externe hoster plaatsen en hier de link naar de afbeelding en thumbnail toe te voegen"
"leave empty to always show this group","laat leeg om deze groep altijd te tonen"
"leave empty to always show this slide","laat leeg om deze slide altijd te tonen"
"maximum width of the slider in pixels, leave empty or 0 for full responsive width","maimale breedte van de slider in pixels, laat leeg of gebruik 0 voor volledige responsive breedte"
"pause the slider and start the video automatically","pauzeer de slider en start de video automatisch"
"set the sort order in case of multiple sliders on one page","stel te sortering in bij gebruik van meerdere sliders op dezelfde pagina"
"set the sort order of the slides as random or use the order configured in the slides","stel de sorteervolgorde willekeurig in of gebruik de volgorde zoals ingesteld in de slides"
"should the caption animate into the slide","moet de omschrijving geanimeerd verschijnen"
"width of the images in carousel, should not be larger then thumbnail upload width in general settings (default is 200)","breedte van de afbeeldingen in de carousel, zou niet breder moete zijn dan de breedte van de thumbnail uploads in de algemene instellingen (standaard is 200)"
"you can use the same URL as above but for performance reasons it's better to upload a seperate small thumbnail of this image, the thumbnails are used in carousels","je kan dezelfde url gebruiken als hierboven maar voor performance redenen is het beter een aparte thumbnail met kleinere afmetingen toe te voegen, thumbnails worden gebruikt in carousels"
