"2317199","10127    "
"2317219","10131    "
"2441335","11228    "
"2441540","11229    "
"2441541","11230    "
"2444224","11242    "
"2444225","11244    "
"2444226","11248    "
"2444227","11249    "
"2444228","11255    "
"2444429","11260    "
"2444430","11261    "
"2444608","11266    "
"2444943","11270    "
"2445161","11276    "
"2445162","11277    "
"2445533","11278    "
"2445534","11282    "
"2447038","11285    "
"2447039","11290    "
"2447068","11295    "
"2447280","11297    "
"2447281","11299    "
"2447327","11300    "
"2447365","11301    "
"2448349","11232    "
"2448350","11312    "
"2448351","11316    "
"2448392","11317    "
"2448459","11318    "
"2448859","11324    "
"2450429","11332    "
"2450430","11333    "
"2450431","11335    "
"2450432","11336    "
"2450433","11338    "
"2450434","11343    "
"2450435","11344    "
"2450436","11347    "
"2450901","11355    "
"2450902","11356    "
"2450903","11360    "
"2451080","11362    "
"2451113","11369    "
"2451259","11374    "
"2451418","11377    "
"2452217","11381    "
"2452247","11370    "
"2452419","11383    "
"2452554","11385    "
"2452591","11386    "
"2453696","11390    "
"2453697","11395    "
"2453698","11397    "
"2453699","11399    "
"2453700","11401    "
"2453701","11403    "
"2453702","11404    "
"2453703","11405    "
"2453704","11407    "
"2453705","11408    "
"2453706","11409    "
"2453707","11410    "
"2454066","11414    "
"2454256","11415    "
"2454257","11416    "
"2454365","11337    "
"2454679","11424    "
"2455028","11428    "
"2455029","11430    "
"2455030","11431    "
"2455133","11432    "
"2455134","11433    "
"2455135","11434    "
"2455136","11435    "
"2455437","11439    "
"2455697","11441    "
"2455698","11442    "
"2455699","11443    "
"2455700","11447    "
"2456460","11450    "
"2457029","11461    "
"2457030","11462    "
"2457031","11463    "
"2457032","11464    "
"2457364","11470    "
"2457368","11444    "
"2458038","11474    "
"2458039","11475    "
"2461549","11422    "
"2461550","11476    "
"2461551","11482    "
"2461552","11483    "
"2461553","11490    "
"2461554","11491    "
"2461555","11495    "
"2461556","11499    "
"2461557","11501    "
"2462901","11506    "
"2462902","11507    "
"2462903","11510    "
"2462904","11512    "
"2462905","11516    "
"2463232","11522    "
"2463233","11524    "
"2463234","11527    "
"2463428","11529    "
"2463629","11531    "
"2463909","11532    "
"2463910","11534    "
"2464072","11508    "
"2464073","11538    "
"2464074","11539    "
"2464075","11540    "
"2464250","11533    "
"2464251","11541    "
"2464252","11542    "
"2465127","11545    "
"2466270","11551    "
"2466271","11558    "
"2466272","11559    "
"2466273","11560    "
"2472245","11484    "
"2472246","11566    "
"2472247","11567    "
"2472248","11569    "
"2472249","11571    "
"2472250","11574    "
"2472251","11576    "
"2472252","11579    "
"2472253","11583    "
"2472254","11593    "
"2472255","11594    "
"2472256","11595    "
"2472257","11596    "
"2472258","11598    "
"2472259","11599    "
"2472966","11525    "
"2472967","11602    "
"2472968","11604    "
"2472969","11605    "
"2472970","11608    "
"2472971","11609    "
"2472972","11611    "
"2472973","11614    "
"2472974","11617    "
"2473428","11619    "
"2473429","11620    "
"2473945","11625    "
"2473953","11631    "
"2474014","11632    "
"2474444","11634    "
"2474919","11635    "
"2476937","11657    "
"2476938","11658    "
"2477485","11665    "
"2477486","11667    "
"2477508","11610    "
"2477509","11623    "
"2477565","11647    "
"2477566","11661    "
"2481269","11668    "
"2481270","11669    "
"2481271","11678    "
"2481272","11682    "
"2481273","11685    "
"2481274","11688    "
"2481715","11692    "
"2481716","11694    "
"2481717","11698    "
"2482006","11702    "
"2482060","11704    "
"2482825","11709    "
"2484075","11690    "
"2485413","11724    "
"2485764","11733    "
"2486321","11737    "
"2486426","11738    "
"2486633","11744    "
"2487007","11746    "
"2487115","11743    "
"2487227","11712    "
"2489831","11754    "
"2489832","11756    "
"2489833","11758    "
"2489834","11759    "
"2489835","11760    "
"2490590","11767    "
"2491042","11774    "
"2491596","11776    "
"2491818","11778    "
"2491910","11780    "
"2493573","11798    "
"2494217","11801    "
"2496765","11770    "
"2497212","11822    "
"2497284","11830    "
"2497718","11833    "
"2498849","11840    "
"2498922","11735    "
"2502674","11844    "
"2502675","11848    "
"2502676","11854    "
"2502677","11856    "
"2502678","11859    "
"2502679","11869    "
"2502680","11871    "
"2503174","11877    "
"2503175","11880    "
"2503974","11888    "
"2504055","11893    "
"2504636","11900    "
"2506928","11902    "
"2506929","11905    "
"2506930","11909    "
"2506931","11917    "
"2506932","11918    "
"2506933","11919    "
"2506934","11920    "
"2506970","11922    "
"2507806","11924    "
"2507807","11930    "
"2508066","11931    "
"2508373","11933    "
"2508374","11934    "
"2508618","11937    "
"2508914","11942    "
"2509612","11944    "
"2509613","11946    "
"2511343","11948    "
"2511344","11949    "
"2511345","11954    "
"2511346","11955    "
"2511347","11960    "
"2512752","11962    "
"2512753","11963    "
"2512754","11969    "
"2512755","11971    "
"2513346","11981    "
"2513347","11982    "
"2513603","11987    "
"2513654","11984    "
"2515226","12002    "
"2515227","12003    "
"2517238","11885    "
"2517239","11988    "
"2517240","12011    "
"2517241","12021    "
"2517242","12026    "
"2517243","12027    "
"2518596","12034    "
"2520832","12047    "
"2520833","12048    "
"2521691","12055    "
"2521692","12057    "
"2522305","12061    "
"2523563","12077    "
"2526368","12084    "
"2526369","12086    "
"2526370","12093    "
"2527025","12098    "
"2527480","12101    "
"2527724","12104    "
"2528061","12107    "
"2528222","12110    "
"2528641","12108    "
"2530277","12117    "
"2530458","12121    "
"2530805","12127    "
"2530955","12128    "
"2531335","12133    "
"2531488","12134    "
"2533876","12135    "
"2533877","12139    "
"2533878","12142    "
"2533879","12143    "
"2533880","12145    "
"2534830","12150    "
"2535777","12157    "
"2535778","12158    "
"2537585","12168    "
"2539093","12175    "
"2539094","12177    "
"2541393","12178    "
"2541394","12188    "
"2541395","12190    "
"2542511","12202    "
"2544457","12208    "
"2545052","12213    "
"2545053","12216    "
"2545055","12212    "
"2545056","12218    "
"2545482","12221    "
"2546511","12224    "
"2546512","12225    "
"2552112","12232    "
"2552113","12234    "
"2552114","12235    "
"2552115","12239    "
"2552116","12240    "
"2552117","12243    "
"2552118","12244    "
"2552119","12250    "
"2552120","12261    "
"2553078","12267    "
"2555795","11849    "
"2555796","12278    "
"2555797","12284    "
"2557176","12290    "
"2557177","12299    "
"2558620","12305    "
"2558622","12309    "
"2559306","12312    "
"2559307","12315    "
"2560698","12322    "
"2562013","12333    "
"2562014","12334    "
"2562307","12336    "
"2565114","12368    "
"2566459","12376    "
"2567099","12390    "
"2568701","12414    "
"2571317","12467    "
"2571488","12468    "
"2573678","12488    "
"2573679","12492    "
"2573680","12493    "
"2573840","12498    "
"2574328","12509    "
"2574859","12517    "
"2574860","12520    "
"2575006","12522    "
"2575993","12550    "
"2576636","12564    "
"2576757","12571    "
"2577323","12577    "
"2577324","12578    "
"2577559","12592    "
"2577910","12598    "
"2578674","12610    "
"2579013","12620    "
"2579114","12625    "
"2581142","12669    "
"2581143","12671    "
"2582090","12701    "
"2582091","12703    "
"2582092","12704    "
"2582332","12714    "
"2583165","12727    "
"2583166","12732    "
"2585607","12768    "
"2585608","12773    "
"2585609","12775    "
"2585610","12778    "
"2585733","12782    "
"2586161","12793    "
"2586259","12795    "
"2587197","12805    "
"2587934","12817    "
"2588209","12819    "
"2588462","12829    "
"2588550","12831    "
"2588587","12833    "
"2588763","12838    "
"2589238","12845    "
"2589860","12853    "
"2589861","12859    "
"2590057","12864    "
"2591095","12876    "
"2591096","12877    "
"2591335","12879    "
"2591523","12882    "
"2592457","12888    "
"2592796","12896    "
"2593385","12900    "
"2593386","12901    "
"2593599","12903    "
"2593680","12904    "
"2593803","12906    "
"2593804","12907    "
"2593805","12908    "
"2594194","12914    "
"2595643","12920    "
